,all,Standing,Elevator-up,Walking-forward,Sitting,Walking-downstairs,Sleeping,Elevator-down,Walking-upstairs,Jumping,Walking-right,Walking-left,Running
lr_all,0.804009255551,0.966025897744,0.947069817114,0.930850353758,0.986272415788,0.972478084813,0.99975526187,0.945935122147,0.979219507854,0.998242335247,0.948160014239,0.938437235794,0.995572464735
lr_ar_20,0.650876162506,0.936495349976,0.944395496818,0.865971610377,0.952501223691,0.934997552619,0.97904062653,0.943445912873,0.950171316691,0.990631424376,0.904424865394,0.906666666667,0.993010279001
lr_expert,0.668135095448,0.93671071953,0.940773372491,0.866196769457,0.978707782673,0.950739109153,1.0,0.939608418992,0.943857072932,0.992648066569,0.905335291238,0.894194811552,0.987498776309
lr_spl_11,0.414968184043,0.890073421439,0.916632403328,0.703357807146,0.959373470387,0.900812530592,1.0,0.912579539892,0.923749388155,0.965570239843,0.857670093,0.877542829173,0.92257464513
lr_ssa_20,0.636749877631,0.923749388155,0.927332354381,0.885198237885,0.939725893294,0.931228585414,0.994459128732,0.941674008811,0.934635340186,0.996505139501,0.908056779246,0.896407244249,0.994527655409
rf_all,0.881858229876,0.975103457482,0.950028923597,0.973145552441,0.992746851778,0.988742046011,0.999822008633,0.951630845904,0.98393627909,0.99855382014,0.975748676189,0.976349397054,0.997908601433
rf_ar_20,0.703024963289,0.943651492903,0.946558981889,0.892785119922,0.96165442976,0.957709251101,0.98165442976,0.947635829662,0.948790993637,0.986314243759,0.921811062163,0.925687714146,0.991796377876
rf_expert,0.871228585414,0.975330396476,0.950425844347,0.96774351444,0.991825746451,0.986177190406,0.999902104748,0.949995105237,0.980822320117,0.998257464513,0.973010279001,0.972227116985,0.996740088106
rf_spl_11,0.736495349976,0.978600097895,0.946069505629,0.883524229075,0.992697014195,0.954762604014,1.0,0.947890357318,0.959520313265,0.987479197259,0.924268232991,0.92588350465,0.972295643661
rf_ssa_20,0.840146842878,0.966617719041,0.946431718062,0.962985805188,0.977229564366,0.98,0.995467449829,0.9470680372,0.977591776799,0.997865883505,0.96402349486,0.967998042095,0.997014194812
svm_all,0.812708583634,0.965113691986,0.947381302007,0.935233391181,0.986161171183,0.976349397054,1.0,0.94624660704,0.978285053175,0.997953099275,0.952142571085,0.942842522138,0.997708361144
svm_ar_20,0.65460597161,0.942770435634,0.943054331865,0.871629955947,0.960665687714,0.930269211943,0.976661771904,0.94304454234,0.947234459129,0.989270680372,0.901419481155,0.906852667646,0.996338717572
svm_expert,0.797278511992,0.945022026432,0.934087126774,0.945717082721,0.978325991189,0.980323054332,0.999490944689,0.932657856094,0.97742535487,0.997826725404,0.956828193833,0.950513950073,0.996338717572
svm_spl_11,0.740195790504,0.963181595693,0.934371023005,0.912794909447,0.985668135095,0.962545276554,0.999941262849,0.934204601077,0.964640234949,0.9858639256,0.929437102301,0.930024473813,0.977719040627
svm_ssa_20,0.822320117474,0.974596182085,0.940107684777,0.971375428292,0.985178658835,0.980460107685,0.999539892315,0.939393049437,0.983034752814,0.970004894763,0.974439549682,0.973783651493,0.95272638277
